season,game_type,train_team_id,trackman_team_name,mapping_status
2019,F,12,MIN_DOO,confirmed_exact
2019,F,13,MIN_LGT,confirmed_exact
2019,F,14,MIN_HER,confirmed_exact
2019,F,15,MIN_LOT,confirmed_exact
2019,F,16,MIN_KIA,confirmed_exact
2019,F,17,MIN_HAN,confirmed_exact
2019,F,18,MIN_SAM,confirmed_exact
2019,F,19,MIN_NCD,confirmed_exact
2019,F,20,MIN_KTW,confirmed_exact
2019,F,21,MIN_SKW,confirmed_exact
2019,F,22,KBO_POL,consistent_final_only
2019,F,23,KBO_ARM,confirmed_exact
2019,R,12,DOO_BEA,confirmed_exact
2019,R,13,LG_TWI,confirmed_exact
2019,R,14,KIW_HER,confirmed_exact
2019,R,15,LOT_GIA,confirmed_exact
2019,R,16,KIA_TIG,confirmed_exact
2019,R,17,HAN_EAG,confirmed_exact
2019,R,18,SAM_LIO,confirmed_exact
2019,R,19,NC_DIN,confirmed_exact
2019,R,20,KT_WIZ,confirmed_exact
2019,R,21,SK_WYV,confirmed_exact
2020,F,12,MIN_DOO,confirmed_exact
2020,F,13,MIN_LGT,confirmed_exact
2020,F,14,MIN_HER,confirmed_exact
2020,F,15,MIN_LOT,consistent_final_only
2020,F,17,MIN_HAN,confirmed_exact
2020,F,18,MIN_SAM,consistent_final_only
2020,F,19,MIN_NCD,consistent_final_only
2020,F,20,MIN_KTW,consistent_final_only
2020,F,21,MIN_SKW,confirmed_exact
2020,R,12,DOO_BEA,confirmed_exact
2020,R,13,LG_TWI,confirmed_exact
2020,R,14,KIW_HER,confirmed_exact
2020,R,15,LOT_GIA,confirmed_exact
2020,R,16,KIA_TIG,confirmed_exact
2020,R,17,HAN_EAG,confirmed_exact
2020,R,18,SAM_LIO,confirmed_exact
2020,R,19,NC_DIN,confirmed_exact
2020,R,20,KT_WIZ,confirmed_exact
2020,R,21,SK_WYV,confirmed_exact
2021,F,12,MIN_DOO,confirmed_exact
2021,F,13,MIN_LGT,confirmed_exact
2021,F,14,MIN_HER,confirmed_exact
2021,F,15,MIN_LOT,confirmed_exact
2021,F,16,MIN_KIA,confirmed_exact
2021,F,17,MIN_HAN,confirmed_exact
2021,F,18,MIN_SAM,confirmed_exact
2021,F,19,MIN_NCD,confirmed_exact
2021,F,20,MIN_KTW,confirmed_exact
2021,F,21,MIN_SSG,confirmed_exact
2021,F,23,KBO_ARM,confirmed_exact
2021,R,12,DOO_BEA,confirmed_exact
2021,R,13,LG_TWI,confirmed_exact
2021,R,14,KIW_HER,confirmed_exact
2021,R,15,LOT_GIA,confirmed_exact
2021,R,16,KIA_TIG,confirmed_exact
