role,train_player_id,current_trackman_player_id,mapping_status
batter,20889,71184.0,confirmed_global_exact
batter,20946,70410.0,confirmed_global_exact
batter,20984,70756.0,confirmed_global_exact
batter,21131,71432.0,confirmed_global_exact
batter,21143,71752.0,confirmed_global_exact
batter,21170,71837.0,confirmed_global_exact
batter,21174,71842.0,confirmed_global_exact
batter,21241,72133.0,confirmed_global_exact
batter,21278,,conflict_reverse_multiple_train_ids
batter,21286,72443.0,confirmed_global_exact
batter,21288,72456.0,confirmed_global_exact
batter,21381,72546.0,confirmed_global_exact
batter,21398,73113.0,confirmed_global_exact
batter,21400,73136.0,confirmed_global_exact
batter,21401,73153.0,confirmed_global_exact
batter,21448,73209.0,confirmed_global_exact
batter,21458,73342.0,confirmed_global_exact
batter,21461,73306.0,confirmed_global_exact
batter,21511,73213.0,confirmed_global_exact
batter,21520,74163.0,confirmed_global_exact
batter,21577,74846.0,confirmed_global_exact
batter,21600,74729.0,confirmed_global_exact
batter,21616,74206.0,confirmed_global_exact
batter,21617,74215.0,confirmed_global_exact
batter,21627,74540.0,confirmed_global_exact
batter,21660,,conflict_reverse_multiple_train_ids
batter,21693,,conflict_reverse_multiple_train_ids
batter,21696,75847.0,confirmed_global_exact
batter,21708,75151.0,confirmed_global_exact
batter,21737,75566.0,confirmed_global_exact
batter,21786,76158.0,confirmed_global_exact
batter,21818,76232.0,confirmed_global_exact
batter,21821,76267.0,confirmed_global_exact
batter,21822,76249.0,confirmed_global_exact
batter,21831,76812.0,confirmed_global_exact
batter,21834,76802.0,confirmed_global_exact
batter,21835,76869.0,confirmed_global_exact
batter,21837,,conflict_multiple_trackman_ids
batter,21848,76720.0,confirmed_global_exact
batter,21851,76753.0,confirmed_global_exact
batter,21865,76509.0,confirmed_global_exact
batter,21892,76100.0,confirmed_global_exact
batter,21945,77243.0,confirmed_global_exact
batter,21947,77248.0,confirmed_global_exact
batter,21968,77564.0,confirmed_global_exact
batter,21980,77463.0,confirmed_global_exact
batter,21990,78548.0,confirmed_global_exact
batter,21992,78513.0,confirmed_global_exact
batter,21996,78135.0,confirmed_global_exact
batter,21999,78122.0,confirmed_global_exact
batter,22002,60100.0,confirmed_global_exact
batter,22006,78813.0,confirmed_global_exact
batter,22013,78224.0,confirmed_global_exact
batter,22016,78217.0,confirmed_global_exact
batter,22021,78629.0,confirmed_global_exact
batter,22025,78643.0,confirmed_global_exact
batter,22026,78603.0,confirmed_global_exact
batter,22038,78756.0,confirmed_global_exact
batter,22064,78566.0,confirmed_global_exact
batter,22066,77532.0,confirmed_global_exact
batter,22101,79198.0,confirmed_global_exact
batter,22102,79192.0,confirmed_global_exact
batter,22103,79109.0,confirmed_global_exact
batter,22104,79113.0,confirmed_global_exact
batter,22106,79150.0,confirmed_global_exact
batter,22109,79608.0,confirmed_global_exact
batter,22126,79240.0,confirmed_global_exact
batter,22127,79215.0,confirmed_global_exact
batter,22130,79231.0,confirmed_global_exact
batter,22132,79234.0,confirmed_global_exact
batter,22133,79402.0,confirmed_global_exact
batter,22137,79465.0,confirmed_global_exact
batter,22144,79334.0,confirmed_global_exact
batter,22146,79365.0,confirmed_global_exact
batter,22148,79300.0,confirmed_global_exact
batter,22160,79705.0,confirmed_global_exact
batter,22182,79456.0,confirmed_global_exact
batter,22208,,conflict_reverse_multiple_train_ids
batter,22221,60648.0,confirmed_global_exact
batter,22225,60605.0,confirmed_global_exact
batter,22238,60805.0,confirmed_global_exact
batter,22245,60558.0,confirmed_global_exact
batter,22258,60184.0,confirmed_global_exact
batter,22269,60523.0,confirmed_global_exact
batter,22281,61114.0,confirmed_global_exact
batter,22283,61102.0,confirmed_global_exact
batter,22284,61104.0,confirmed_global_exact
batter,22287,61186.0,confirmed_global_exact
batter,22288,61197.0,confirmed_global_exact
batter,22315,61404.0,confirmed_global_exact
batter,22322,61360.0,confirmed_global_exact
batter,22323,61353.0,confirmed_global_exact
batter,22332,61700.0,confirmed_global_exact
batter,22333,61743.0,confirmed_global_exact
batter,22344,61204.0,confirmed_global_exact
batter,22345,61208.0,confirmed_global_exact
batter,22353,61566.0,confirmed_global_exact
