role,season,game_type,train_team_id,train_player_id,current_trackman_player_id,mapping_status
batter,2019,F,12,21947,77248.0,confirmed_exact_strict
batter,2019,F,12,22284,61104.0,confirmed_global_exact_fallback
batter,2019,F,12,22345,61208.0,confirmed_global_exact_fallback
batter,2019,F,12,22514,79290.0,confirmed_exact_strict
batter,2019,F,12,22521,63202.0,confirmed_global_exact_fallback
batter,2019,F,12,22522,63257.0,confirmed_exact_strict
batter,2019,F,12,22748,64086.0,confirmed_global_exact_fallback
batter,2019,F,12,22822,64260.0,confirmed_exact_strict
batter,2019,F,12,22830,66203.0,confirmed_global_exact_fallback
batter,2019,F,12,22841,64213.0,confirmed_exact_strict
batter,2019,F,12,23186,66233.0,confirmed_exact_strict
batter,2019,F,12,23241,67202.0,confirmed_exact_strict
batter,2019,F,12,23242,67265.0,confirmed_exact_strict
batter,2019,F,12,23243,67207.0,confirmed_exact_strict
batter,2019,F,12,23250,67206.0,confirmed_exact_strict
batter,2019,F,12,23252,67209.0,confirmed_exact_strict
batter,2019,F,12,23253,64209.0,confirmed_global_exact_fallback
batter,2019,F,12,23552,68205.0,confirmed_exact_strict
batter,2019,F,12,23562,63559.0,confirmed_global_exact_fallback
batter,2019,F,12,23563,,unanchored_no_exact_evidence
batter,2019,F,12,23626,63440.0,confirmed_global_exact_fallback
batter,2019,F,12,23728,68211.0,confirmed_exact_strict
batter,2019,F,12,23733,69203.0,confirmed_exact_strict
batter,2019,F,12,23734,68204.0,confirmed_exact_strict
batter,2019,F,12,23735,69238.0,confirmed_exact_strict
batter,2019,F,12,23739,69207.0,confirmed_global_exact_fallback
batter,2019,F,12,23742,69210.0,confirmed_exact_strict
batter,2019,F,13,20889,71184.0,confirmed_exact_strict
batter,2019,F,13,21174,71842.0,confirmed_exact_strict
batter,2019,F,13,21241,72133.0,confirmed_global_exact_fallback
batter,2019,F,13,21968,77564.0,confirmed_exact_strict
batter,2019,F,13,21996,78135.0,confirmed_exact_strict
batter,2019,F,13,22102,79192.0,confirmed_global_exact_fallback
batter,2019,F,13,22106,79150.0,confirmed_exact_strict
batter,2019,F,13,22281,61114.0,confirmed_exact_strict
batter,2019,F,13,22283,61102.0,confirmed_global_exact_fallback
batter,2019,F,13,22374,62164.0,confirmed_exact_strict
batter,2019,F,13,22502,78361.0,confirmed_exact_strict
batter,2019,F,13,22613,62917.0,confirmed_exact_strict
batter,2019,F,13,22695,65132.0,confirmed_exact_strict
batter,2019,F,13,22696,65136.0,confirmed_exact_strict
batter,2019,F,13,22737,64117.0,confirmed_exact_strict
batter,2019,F,13,22773,65120.0,confirmed_exact_strict
batter,2019,F,13,22774,63360.0,confirmed_exact_strict
batter,2019,F,13,22800,64164.0,confirmed_exact_strict
batter,2019,F,13,22808,64101.0,confirmed_exact_strict
batter,2019,F,13,22811,66113.0,confirmed_exact_strict
batter,2019,F,13,22813,66109.0,confirmed_global_exact_fallback
batter,2019,F,13,22816,66108.0,confirmed_exact_strict
batter,2019,F,13,22817,64100.0,confirmed_exact_strict
batter,2019,F,13,22831,65207.0,confirmed_global_exact_fallback
batter,2019,F,13,23227,67169.0,confirmed_exact_strict
batter,2019,F,13,23234,67123.0,confirmed_exact_strict
batter,2019,F,13,23418,65109.0,confirmed_exact_strict
batter,2019,F,13,23425,68100.0,confirmed_exact_strict
batter,2019,F,13,23427,68106.0,confirmed_exact_strict
batter,2019,F,13,23430,68110.0,confirmed_exact_strict
batter,2019,F,13,23553,79530.0,confirmed_exact_strict
batter,2019,F,13,23635,571830.0,confirmed_exact_strict
batter,2019,F,13,23639,69102.0,confirmed_exact_strict
batter,2019,F,13,23641,69105.0,confirmed_exact_strict
batter,2019,F,13,23645,69100.0,confirmed_exact_strict
batter,2019,F,13,23845,,unanchored_no_exact_evidence
batter,2019,F,14,22146,79365.0,confirmed_global_exact_fallback
batter,2019,F,14,22148,79300.0,confirmed_exact_strict
batter,2019,F,14,22392,62353.0,confirmed_global_exact_fallback
batter,2019,F,14,22736,65357.0,confirmed_global_exact_fallback
batter,2019,F,14,22775,65399.0,confirmed_global_exact_fallback
batter,2019,F,14,22847,,unanchored_no_exact_evidence
batter,2019,F,14,22852,65304.0,confirmed_exact_strict
batter,2019,F,14,22857,,unanchored_no_exact_evidence
batter,2019,F,14,22872,65362.0,confirmed_global_exact_fallback
batter,2019,F,14,22882,64340.0,confirmed_global_exact_fallback
