balls_before,strikes_before,pitcher_hand,batter_hand,coarse_pitchmix_fastball,coarse_pitchmix_breaking,coarse_pitchmix_offspeed,coarse_pitchmix_other
0,0,1,1,0.571712090546462,0.35862922717179857,0.06048220707001238,0.009176475211727025
0,0,1,2,0.5482969378666421,0.20948124942412236,0.23333026198593323,0.008891550723302312
0,0,2,1,0.5634790107487142,0.19618713234161816,0.22553204595152299,0.014801810958144692
0,0,2,2,0.5414084297063021,0.338215875449918,0.1066864737077503,0.013689221136029647
0,1,1,1,0.4618482146525866,0.46476558326827466,0.06459300653326211,0.008793195545876648
0,1,1,2,0.4328456788084938,0.27551930253294143,0.284006472705657,0.007628545952907764
0,1,2,1,0.44548186306074267,0.24715604206911354,0.29316913500751235,0.014192959862631466
0,1,2,2,0.4424956486812157,0.41010621680724774,0.13521444191547285,0.01218369259606373
0,2,1,1,0.4606828099597844,0.47377427911354497,0.05724309061350218,0.008299820313168478
0,2,1,2,0.4440188769578004,0.2605156966007797,0.28903631762533344,0.006429108816086451
0,2,2,1,0.45117350052710425,0.2133662542307052,0.31981357154746715,0.01564667369472341
0,2,2,2,0.42517724979441246,0.388904940768564,0.1725379503478319,0.013379859089191651
0,3,2,1,0.0,0.0,0.0,1.0
1,0,1,1,0.6131633589260708,0.3125694142643295,0.06600994736587958,0.008257279443720122
1,0,1,2,0.5713819131949485,0.1879808390187255,0.23163739294527508,0.008999854841050951
1,0,2,1,0.5877984942947888,0.18184625338195506,0.21509234207740266,0.015262910245853429
1,0,2,2,0.5683681741464776,0.30179276250215953,0.117134237909817,0.012704825441545843
1,1,1,1,0.48887677748600306,0.4345241044443343,0.06981122727047515,0.006787890799187435
1,1,1,2,0.45553052664284605,0.2659235668789809,0.2718657759826006,0.006680130495572471
1,1,2,1,0.45328253132006835,0.2522069084466187,0.2815748624112141,0.012935697822098876
1,1,2,2,0.4608887461782239,0.3856957377598459,0.14260983679794498,0.010805679263985258
1,2,1,1,0.4300187204052417,0.48788679660830303,0.07267922035018169,0.009415262636273538
1,2,1,2,0.4136400844427211,0.28740683296712766,0.2919736331911594,0.006979449398991857
1,2,2,1,0.4177880571909167,0.24509391645640594,0.32164634146341464,0.015471684889262685
1,2,2,2,0.39700940113998073,0.4032570878673477,0.18629062106743652,0.013442889925235029
2,0,1,1,0.714728056004308,0.20463112547119008,0.06987075928917609,0.010770059235325794
2,0,1,2,0.665905253749131,0.14698579799384248,0.17101996226040322,0.016088985996623298
2,0,2,1,0.6910893483254745,0.1332769112964978,0.15419336638052633,0.02144037399750131
2,0,2,2,0.6614337844001824,0.21457351376007297,0.10559525619583397,0.018397445643910597
2,1,1,1,0.615246475711592,0.31283110352877797,0.06599622878692646,0.005926191972703601
2,1,1,2,0.5741637010676156,0.1988612099644128,0.2211387900355872,0.005836298932384342
2,1,2,1,0.5835234474017744,0.19208562174341642,0.2139698633995212,0.010421067455287987
2,1,2,2,0.5641646489104116,0.296410611180587,0.12965968656041296,0.009765053348588458
2,2,1,1,0.4754630513652855,0.44726624657883013,0.06969639106358602,0.00757431099229839
2,2,1,2,0.45157857396239803,0.2778594233010693,0.2643794658693559,0.00618253686717681
2,2,2,1,0.4467761618020685,0.2558665252965771,0.28471402564666815,0.012643287254686218
2,2,2,2,0.4402763018065887,0.3767268862911796,0.1716082182075806,0.01138859369465108
3,0,1,1,0.8605009633911368,0.047398843930635835,0.06705202312138728,0.025048169556840076
3,0,1,2,0.8291278113000549,0.041689522764673616,0.08475041140976412,0.044432254525507406
3,0,2,1,0.818808359270787,0.03423743886171632,0.09270787016451756,0.0542463317029791
3,0,2,2,0.8109838274932615,0.06345462713387241,0.08119946091644205,0.04436208445642408
3,1,1,1,0.7500504337300786,0.17793019971757112,0.06616905386322372,0.0058503126891264875
3,1,1,2,0.7241642497328652,0.12440848725385438,0.14516867653793314,0.0062585864753472754
3,1,2,1,0.7323772484200292,0.11539863879436071,0.14244044725328148,0.009783665532328635
3,1,2,2,0.6999694842844064,0.18449801647848643,0.10668294171498321,0.008849557522123894
3,2,1,1,0.5858000632044664,0.3463604761403139,0.06162435478773833,0.006215105867481302
3,2,1,2,0.5623034916432236,0.23274863478404767,0.1990733079596227,0.005874565613106073
3,2,2,1,0.5685667752442997,0.21514657980456026,0.20612377850162866,0.0101628664495114
3,2,2,2,0.5340252679702221,0.31411979118401134,0.14283507861489514,0.009019862230871405
4,0,2,1,0.0,0.0,0.0,1.0
